UTC,Open,High,Low,Close,Volume
19.03.2026 06:00:00.000 UTC,4827.275,4842.265,4827.195,4837.025,0.26631
19.03.2026 06:05:00.000 UTC,4836.995,4839.785,4830.795,4833.395,0.16215
19.03.2026 06:10:00.000 UTC,4833.295,4835.805,4831.495,4832.965,0.11319
19.03.2026 06:15:00.000 UTC,4832.895,4833.555,4821.465,4821.805,0.18057
19.03.2026 06:20:00.000 UTC,4821.825,4826.335,4816.075,4819.395,0.22239
19.03.2026 06:25:00.000 UTC,4819.325,4823.535,4812.935,4813.555,0.22467000000000004
19.03.2026 06:30:00.000 UTC,4813.535,4819.795,4807.158,4807.715,0.22105000000000002
19.03.2026 06:35:00.000 UTC,4807.975,4808.275,4791.075,4795.875,0.39310999999999996
19.03.2026 06:40:00.000 UTC,4795.925,4796.145,4779.915,4785.758,0.32749
19.03.2026 06:45:00.000 UTC,4785.778,4788.178,4759.125,4766.965,0.34074
19.03.2026 06:50:00.000 UTC,4766.945,4767.355,4747.505,4754.035,0.33690000000000003
19.03.2026 06:55:00.000 UTC,4754.365,4770.095,4748.155,4763.385,0.30817000000000005
19.03.2026 07:00:00.000 UTC,4763.475,4772.945,4762.585,4768.475,0.26869
19.03.2026 07:05:00.000 UTC,4768.455,4782.905,4764.115,4780.265,0.21905000000000002
19.03.2026 07:10:00.000 UTC,4780.225,4784.275,4776.285,4777.915,0.21436
19.03.2026 07:15:00.000 UTC,4777.975,4781.865,4773.125,4774.115,0.17386
19.03.2026 07:20:00.000 UTC,4774.235,4775.935,4762.415,4766.245,0.19529
19.03.2026 07:25:00.000 UTC,4765.925,4770.715,4756.865,4770.635,0.20532999999999998
19.03.2026 07:30:00.000 UTC,4770.555,4770.985,4757.055,4764.635,0.15525
19.03.2026 07:35:00.000 UTC,4765.09,4771.3,4762.895,4766.765,0.12320999999999999
19.03.2026 07:40:00.000 UTC,4766.678,4768.995,4735.535,4739.375,0.23404
19.03.2026 07:45:00.000 UTC,4739.355,4752.615,4738.605,4750.715,0.18671999999999997
19.03.2026 07:50:00.000 UTC,4750.605,4754.855,4745.875,4753.615,0.13824
19.03.2026 07:55:00.000 UTC,4753.855,4754.105,4726.755,4727.635,0.22026
19.03.2026 08:00:00.000 UTC,4727.525,4740.145,4726.695,4736.605,0.26588999999999996
19.03.2026 08:05:00.000 UTC,4736.635,4737.395,4713.535,4715.005,0.25827
19.03.2026 08:10:00.000 UTC,4714.975,4721.065,4701.125,4714.475,0.30923
19.03.2026 08:15:00.000 UTC,4714.545,4732.835,4712.945,4729.185,0.27843
19.03.2026 08:20:00.000 UTC,4729.155,4736.325,4727.015,4730.505,0.25073
19.03.2026 08:25:00.000 UTC,4730.605,4731.675,4713.198,4718.725,0.23438
19.03.2026 08:30:00.000 UTC,4718.695,4722.075,4696.705,4703.235,0.28951
19.03.2026 08:35:00.000 UTC,4703.195,4720.335,4702.455,4710.398,0.34060999999999997
19.03.2026 08:40:00.000 UTC,4710.398,4710.398,4686.645,4688.135,0.38821
19.03.2026 08:45:00.000 UTC,4688.235,4719.585,4686.635,4710.588,0.35644000000000003
19.03.2026 08:50:00.000 UTC,4710.608,4718.138,4705.808,4706.778,0.38381
19.03.2026 08:55:00.000 UTC,4706.778,4710.525,4702.675,4708.985,0.30967
19.03.2026 09:00:00.000 UTC,4708.835,4720.635,4708.415,4712.648,0.34845000000000004
19.03.2026 09:05:00.000 UTC,4712.648,4717.465,4694.785,4701.995,0.36902
19.03.2026 09:10:00.000 UTC,4702.015,4705.225,4687.545,4694.665,0.32274
19.03.2026 09:15:00.000 UTC,4694.635,4715.705,4693.105,4712.895,0.30781000000000003
19.03.2026 09:20:00.000 UTC,4712.835,4722.098,4709.425,4710.035,0.28057
19.03.2026 09:25:00.000 UTC,4710.225,4715.655,4702.275,4708.835,0.35099
19.03.2026 09:30:00.000 UTC,4708.855,4725.635,4708.085,4720.005,0.33035
19.03.2026 09:35:00.000 UTC,4719.815,4721.605,4709.438,4712.185,0.31345
19.03.2026 09:40:00.000 UTC,4711.915,4717.355,4702.395,4704.795,0.31994
19.03.2026 09:45:00.000 UTC,4704.765,4716.595,4704.125,4714.195,0.28622000000000003
19.03.2026 09:50:00.000 UTC,4714.135,4716.715,4697.615,4705.835,0.28973000000000004
19.03.2026 09:55:00.000 UTC,4705.805,4709.665,4695.558,4698.855,0.28073
19.03.2026 10:00:00.000 UTC,4698.825,4711.065,4697.685,4710.985,0.2017
19.03.2026 10:05:00.000 UTC,4710.965,4719.388,4707.665,4712.298,0.25158
19.03.2026 10:10:00.000 UTC,4712.298,4712.298,4698.848,4704.215,0.22534
19.03.2026 10:15:00.000 UTC,4704.235,4705.335,4688.245,4693.605,0.27280000000000004
19.03.2026 10:20:00.000 UTC,4693.355,4694.015,4670.665,4678.575,0.26073999999999997
19.03.2026 10:25:00.000 UTC,4678.605,4689.945,4678.375,4683.118,0.20176
19.03.2026 10:30:00.000 UTC,4683.108,4700.455,4673.655,4698.105,0.33364000000000005
19.03.2026 10:35:00.000 UTC,4698.095,4698.188,4686.555,4690.065,0.23214
19.03.2026 10:40:00.000 UTC,4690.055,4692.345,4681.555,4683.135,0.19117
19.03.2026 10:45:00.000 UTC,4682.948,4684.375,4676.055,4682.455,0.20799
19.03.2026 10:50:00.000 UTC,4682.105,4689.105,4668.085,4677.865,0.28181
19.03.2026 10:55:00.000 UTC,4677.785,4680.595,4666.385,4678.925,0.24529
19.03.2026 11:00:00.000 UTC,4678.955,4699.158,4678.715,4687.798,0.30188
19.03.2026 11:05:00.000 UTC,4687.898,4691.075,4683.435,4686.905,0.20979
19.03.2026 11:10:00.000 UTC,4686.935,4695.415,4685.215,4685.865,0.22287
19.03.2026 11:15:00.000 UTC,4685.865,4688.125,4676.235,4686.525,0.25887
19.03.2026 11:20:00.000 UTC,4686.545,4692.128,4685.485,4687.845,0.17632
19.03.2026 11:25:00.000 UTC,4687.875,4689.265,4678.595,4685.995,0.19413
19.03.2026 11:30:00.000 UTC,4685.965,4695.505,4680.885,4683.135,0.21206999999999998
19.03.2026 11:35:00.000 UTC,4683.115,4683.405,4671.795,4679.835,0.24429
19.03.2026 11:40:00.000 UTC,4679.875,4680.905,4658.055,4664.045,0.26701
19.03.2026 11:45:00.000 UTC,4664.085,4667.875,4656.205,4660.858,0.27294
19.03.2026 11:50:00.000 UTC,4660.885,4661.715,4650.675,4652.415,0.27087
19.03.2026 11:55:00.000 UTC,4652.445,4659.815,4651.385,4651.385,0.21177000000000004
19.03.2026 12:00:00.000 UTC,4651.455,4653.785,4625.815,4630.315,0.32714
19.03.2026 12:05:00.000 UTC,4630.285,4639.655,4623.135,4628.895,0.29093
19.03.2026 12:10:00.000 UTC,4628.865,4629.885,4609.875,4619.305,0.33429000000000003
19.03.2026 12:15:00.000 UTC,4619.275,4630.375,4612.295,4616.198,0.27985000000000004
19.03.2026 12:20:00.000 UTC,4616.205,4620.148,4603.785,4604.885,0.37227
19.03.2026 12:25:00.000 UTC,4604.865,4608.735,4602.615,4606.275,0.33200999999999997
19.03.2026 12:30:00.000 UTC,4606.225,4616.905,4599.155,4603.535,0.37509000000000003
19.03.2026 12:35:00.000 UTC,4603.445,4617.615,4602.778,4605.585,0.36841
19.03.2026 12:40:00.000 UTC,4605.115,4605.225,4559.595,4562.855,0.40929
19.03.2026 12:45:00.000 UTC,4562.798,4564.525,4530.945,4557.235,0.47629
19.03.2026 12:50:00.000 UTC,4557.265,4575.585,4552.165,4573.375,0.38408000000000003
19.03.2026 12:55:00.000 UTC,4573.445,4585.645,4569.928,4573.985,0.36091
19.03.2026 13:00:00.000 UTC,4573.915,4573.915,4502.108,4549.875,0.60115
19.03.2026 13:05:00.000 UTC,4549.885,4565.555,4526.728,4535.528,0.46836
19.03.2026 13:10:00.000 UTC,4535.548,4545.865,4522.035,4538.165,0.52867
19.03.2026 13:15:00.000 UTC,4538.148,4568.908,4522.415,4562.275,0.45782
19.03.2026 13:20:00.000 UTC,4562.305,4577.045,4560.035,4561.975,0.45528
19.03.2026 13:25:00.000 UTC,4562.005,4580.825,4552.845,4575.855,0.40752999999999995
19.03.2026 13:30:00.000 UTC,4576.475,4582.855,4557.545,4580.525,0.51695
19.03.2026 13:35:00.000 UTC,4580.585,4581.295,4552.685,4563.595,0.5183599999999999
19.03.2026 13:40:00.000 UTC,4563.705,4571.275,4545.928,4558.535,0.7699300000000001
19.03.2026 13:45:00.000 UTC,4558.395,4568.945,4538.158,4560.945,0.47374000000000005
19.03.2026 13:50:00.000 UTC,4560.518,4598.248,4559.675,4597.065,0.46787999999999996
19.03.2026 13:55:00.000 UTC,4597.265,4620.975,4596.315,4620.695,0.45589999999999997
19.03.2026 14:00:00.000 UTC,4620.505,4643.128,4620.145,4625.605,0.48851
19.03.2026 14:05:00.000 UTC,4625.475,4639.565,4618.505,4625.345,0.43435999999999997
19.03.2026 14:10:00.000 UTC,4625.305,4648.825,4621.805,4630.595,0.52697
19.03.2026 14:15:00.000 UTC,4630.555,4635.355,4604.365,4614.155,0.49139
19.03.2026 14:20:00.000 UTC,4614.135,4615.845,4600.395,4612.105,0.39635
19.03.2026 14:25:00.000 UTC,4612.035,4616.215,4584.015,4584.939,0.42854
19.03.2026 14:30:00.000 UTC,4584.845,4605.975,4581.055,4605.635,0.3940199999999999
